"Group","Acer rubrum","Acer saccharum","Carya cordiformis","Carya ovata","Celtis occidentalis","Cercis canadensis","Cornus florida","Fagus grandifolia","Fraxinus americana","Fraxinus pennsylvanica","Hamamelis virginiana","Juniperus virginiana","Liriodendron tulipifera","Paulownia tomentosa","Prunus serotina","Quercus alba","Quercus coccinea","Quercus prinus","Quercus rubra","Quercus shumardii","Quercus velutina","Rhus typhina","Sassafras albidum","Tilia americana","Ulmus americana","Ulmus rubra"
"203",3,7,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0
"204",1,8,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0
"205",2,1,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,8,0,0,3,0,1,0,0,0
"206",3,3,0,0,0,0,8,30,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0
"207",6,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,0,0
"208",4,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0
"209",6,2,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,11,1,0,0,0,2,0,0,0
"210",6,12,2,0,0,0,4,25,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0
"211",3,6,0,0,0,0,0,17,2,2,0,0,0,0,0,0,0,6,0,0,1,0,12,0,0,0
"212",2,9,0,0,0,0,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"213",0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"214",1,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"215",3,16,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"216",1,20,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"217",0,22,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"218",1,15,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
"219",1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"220",0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"221",0,4,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",1,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"223",4,11,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,0
"224",5,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0
"300",0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"301",2,11,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
"302",4,7,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"303",0,8,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0
"304",0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
"305",5,5,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
"306",0,3,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"307",1,0,0,0,0,0,7,31,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0
"308",2,5,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0
"309",5,10,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,9,0,0,1,0,4,0,0,0
"310",3,5,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,1,6,30,0,0,0
"311",0,6,2,0,0,0,0,8,0,2,0,0,0,0,0,1,0,6,0,0,2,0,1,0,0,0
"312",1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,6,0,0,0
"313",0,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"314",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"315",0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0
"316",0,13,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"317",0,18,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
"318",0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"319",0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
"320",0,17,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0
"321",0,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"322",0,19,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"323",3,12,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
"324",6,7,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"400",0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1
"401",1,9,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"402",1,6,0,0,0,0,1,11,0,0,2,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0
"403",0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
"404",0,9,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0
"405",0,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"406",3,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"407",0,9,0,0,0,0,2,22,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
"408",0,11,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"409",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,0
"410",4,16,0,0,0,0,1,13,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0
"411",2,13,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"412",0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"413",0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"414",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"415",1,20,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"416",0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"417",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
"418",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0
"419",0,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"420",1,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"421",0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"422",0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"423",4,8,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"424",17,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0
"500",1,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"501",0,19,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"502",0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"503",0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"504",3,13,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"505",0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"506",0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"507",0,12,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"508",0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
"509",0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"510",0,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"511",0,20,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"512",0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
"513",0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"514",0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"515",0,14,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"516",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
